"STOP_STARTHR","STOP_ORIGPLACE1","STOP_ORIGPLACE2","STOP_ORIGPURP1","STOP_ORIGPURP2","STOP_ORIG_SA1_2016","STOP_DESTPLACE1","STOP_DESTPLACE2","STOP_DESTPURP1","STOP_DESTPURP2","STOP_DESTGEO","STOP_DEST_SA1_2016","STOP_NOONE","STOP_SOMEONEELSE","STOP_PERSON1","STOP_PERSON2","STOP_PERSON3","STOP_SOMEONE","STOP_MAINMODE","STOP_DEPHR","STOP_TRAVTIME","STOP_NETWORK_DIST","STOP_AVESPEED","STOP_DURATION","TRIP_ORIG_SA1_2016","TRIP_ORIGPLACE1","TRIP_ORIGPLACE2","TRIP_ORIGPURP1","TRIP_ORIGPURP2","TRIP_DEST_SA1_2016","TRIP_DESTPLACE1","TRIP_DESTPLACE2","TRIP_DESTPURP1","TRIP_DESTPURP2","TRIP_NETWORK_DIST","TRIP_MORETRIPS","TRIP_DEPHR","TRIP_TRAVTIME","TRIP_WAITTIME","TRIP_DURATION","TRIP_OVERALL_PURPOSE","PERS_PERSNO","PERS_AGEGROUP","PERS_SEX","PERS_RELATIONSHIP","PERS_CARLICENCE","PERS_MBLICENCE","PERS_OTHERLICENCE","PERS_NOLICENCE","PERS_CASUALWORK","PERS_ANYWORK","PERS_STUDYING","PERS_ACTIVITIES","PERS_MAINACT","PERS_WORKARR","PERS_ANZSCO1","PERS_ANZSCO2","PERS_ANZSIC1","PERS_ANZSIC2","PERS_STARTPLACE","PERS_NUMSTOPS","PERS_PERSINC","PERS_ADDITIONALTRAVEL","HH_HHSIZE","HH_VISITORS","HH_HHSTRUCTURE","HH_DWELLTYPE","HH_OWNDWELL","HH_ADULTSBIKES","HH_KIDSBIKES","HH_TOTALBIKES","HH_CARS","HH_FOURWDS","HH_UTES","HH_VANS","HH_TRUCKS","HH_MBIKES","HH_OTHERVEHS","HH_TOTALVEHS","HH_TRAVDOW","HH_HHINC","HH_HOME_SA1_2016","HH_HHWGT14","PERS_ADDITIONALTRAVEL_missing","VEH_PER_PERSON","VEH_PER_ADULT","TIME_PERIOD","DIST_CATEGORY","PERS_MRTDOW_missing","TRIP_SPEED","IS_WEEKEND","HAS_LICENSE_AND_CAR"
6,"My home","Survey Home","At Home","Go home",3125504,"Childcare  pre-school or kindergarten","Childcare","Pick-up or Drop-off Someone","Someone picked-up or delivered","Landmark",3119100.75,"No","No","Not Present","Not Present","Present","Yes","Vehicle Driver",7,30,34.8600006103516,69.7200012207031,5,3125504,"My home","Survey Home","At Home","Go home",3119107.5,"Childcare  pre-school or kindergarten","Childcare","Pick-up or Drop-off Someone","Someone picked-up or delivered",34.8600006103516,"Yes",7,30,0,5,5,1,"40->44","Female","Self","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Rostered Shifts","Managers","Hospitality - Retail and Service Managers","Retail Trade","Retail Trade (NEC)","Survey address",4,"$1500-1999 p.w.","No",3,0,"Couple With Kids","Separate House","Being Rented",1,2,3,2,0,1,0,0,0,0,3,"Wednesday",2650,3125504,108.43822,0,1,0.666666666666667,"Morning_Peak","Very_Long",1,0,0,0
7,"Childcare  pre-school or kindergarten","Childcare","Pick-up or Drop-off Someone","Someone picked-up or delivered",3119101,"My usual workplace","Hardware","Work Related","Own Workplace","Landmark",3128417,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",17,30,19.8209991455078,39.6419982910156,550,3119110,"Childcare  pre-school or kindergarten","Childcare","Pick-up or Drop-off Someone","Someone picked-up or delivered",3128417,"My usual workplace","Hardware","Work Related","Own Workplace",19.8209991455078,"Yes",17,30,0,550,7,1,"40->44","Female","Self","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Rostered Shifts","Managers","Hospitality - Retail and Service Managers","Retail Trade","Retail Trade (NEC)","Survey address",4,"$1500-1999 p.w.","No",3,0,"Couple With Kids","Separate House","Being Rented",1,2,3,2,0,1,0,0,0,0,3,"Wednesday",2650,3125504,108.43822,0,1,0.666666666666667,"Morning_Peak","Long",1,0,0,0
17,"My usual workplace","Hardware","Work Related","Own Workplace",3128417,"Childcare  pre-school or kindergarten","Childcare","Pick-up or Drop-off Someone","Someone picked-up or delivered","Landmark",3119100.75,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",17,20,19.4360008239746,58.3080024719238,5,3128417,"My usual workplace","Hardware","Work Related","Own Workplace",3119107.5,"Childcare  pre-school or kindergarten","Childcare","Pick-up or Drop-off Someone","Someone picked-up or delivered",19.4360008239746,"Yes",17,20,0,5,5,1,"40->44","Female","Self","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Rostered Shifts","Managers","Hospitality - Retail and Service Managers","Retail Trade","Retail Trade (NEC)","Survey address",4,"$1500-1999 p.w.","No",3,0,"Couple With Kids","Separate House","Being Rented",1,2,3,2,0,1,0,0,0,0,3,"Wednesday",2650,3125504,108.43822,0,1,0.666666666666667,"Evening_Peak","Long",1,0,0,0
17,"Childcare  pre-school or kindergarten","Childcare","Pick-up or Drop-off Someone","Someone picked-up or delivered",3119101,"My home","Survey Home","At Home","Go home","Home",3125504,"No","No","Not Present","Not Present","Present","Yes","Vehicle Driver",16.1666666666667,30,35.0099983215332,70.0199966430664,50,3119110,"Childcare  pre-school or kindergarten","Childcare","Pick-up or Drop-off Someone","Someone picked-up or delivered",3125504,"My home","Survey Home","At Home","Go home",35.0099983215332,"No",16.5,30,0,30,5,1,"40->44","Female","Self","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Rostered Shifts","Managers","Hospitality - Retail and Service Managers","Retail Trade","Retail Trade (NEC)","Survey address",4,"$1500-1999 p.w.","No",3,0,"Couple With Kids","Separate House","Being Rented",1,2,3,2,0,1,0,0,0,0,3,"Wednesday",2650,3125504,108.43822,0,1,0.666666666666667,"Evening_Peak","Very_Long",1,0,0,0
5,"My home","Survey Home","At Home","Go home",3125504,"Another place to do work","Another Workplace","Work Related","Employers Business","Intersection",3129108,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",9,55,68.0469970703125,70.7584972381592,200,3125504,"My home","Survey Home","At Home","Go home",3129108,"Another place to do work","Another Workplace","Work Related","Employers Business",68.0469970703125,"Yes",9,55,0,200,7,2,"35->39","Female","Spouse","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Rostered Shifts","Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Construction","Construction (NEC)","Survey address",3,"$800-999 p.w.","No",3,0,"Couple With Kids","Separate House","Being Rented",1,2,3,2,0,1,0,0,0,0,3,"Wednesday",2650,3125504,108.43822,0,1,0.666666666666667,"Off_Peak","Very_Long",1,0,0,0
9,"Another place to do work","Another Workplace","Work Related","Employers Business",3129108,"Another place to do work","Another Workplace","Work Related","Employers Business","Intersection",3128207,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",17,20,11.543999671936,34.6319999694824,430,3129108,"Another place to do work","Another Workplace","Work Related","Employers Business",3128207,"Another place to do work","Another Workplace","Work Related","Employers Business",11.543999671936,"Yes",17,20,0,430,7,2,"35->39","Female","Spouse","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Rostered Shifts","Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Construction","Construction (NEC)","Survey address",3,"$800-999 p.w.","No",3,0,"Couple With Kids","Separate House","Being Rented",1,2,3,2,0,1,0,0,0,0,3,"Wednesday",2650,3125504,108.43822,0,1,0.666666666666667,"Midday","Medium",1,0,0,0
17,"Another place to do work","Another Workplace","Work Related","Employers Business",3128207,"My home","Survey Home","At Home","Go home","Home",3125504,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",17.1666666666667,80,79.9069976806641,59.930248260498,50,3128207,"Another place to do work","Another Workplace","Work Related","Employers Business",3125504,"My home","Survey Home","At Home","Go home",79.9069976806641,"No",16.6666666666667,80,0,80,7,2,"35->39","Female","Spouse","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Rostered Shifts","Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Construction","Construction (NEC)","Survey address",3,"$800-999 p.w.","No",3,0,"Couple With Kids","Separate House","Being Rented",1,2,3,2,0,1,0,0,0,0,3,"Wednesday",2650,3125504,108.43822,0,1,0.666666666666667,"Evening_Peak","Very_Long",1,0,0,0
6,"My home","Survey Home","At Home","Go home",3125504,"Childcare  pre-school or kindergarten","Childcare","Personal Business","At childcare","Landmark",3119100.75,"No","No","Present","Not Present","Not Present","Yes","Vehicle Passenger",17,30,34.8600006103516,69.7200012207031,610,3125504,"My home","Survey Home","At Home","Go home",3119107.5,"Childcare  pre-school or kindergarten","Childcare","Personal Business","At childcare",34.8600006103516,"Yes",17,30,0,610,9,3,"5->9","Female","Child","No Car Licence","No","No","Yes","No","No","No Study","Childcare/Kindergarten","Childcare/Kindergarten","Not in Work Force","Not in Work Force","Not in Work Force","Not in Work Force","Not In Work Force","Survey address",2,"Zero Income","No",3,0,"Couple With Kids","Separate House","Being Rented",1,2,3,2,0,1,0,0,0,0,3,"Wednesday",2650,3125504,108.43822,1,1,0.666666666666667,"Morning_Peak","Very_Long",1,0,0,0
17,"Childcare  pre-school or kindergarten","Childcare","Personal Business","At childcare",3119101,"My home","Survey Home","At Home","Go home","Home",3125504,"No","No","Present","Not Present","Not Present","Yes","Vehicle Passenger",16.1666666666667,30,35.0099983215332,70.0199966430664,50,3119110,"Childcare  pre-school or kindergarten","Childcare","Personal Business","At childcare",3125504,"My home","Survey Home","At Home","Go home",35.0099983215332,"No",16.5,30,0,30,9,3,"5->9","Female","Child","No Car Licence","No","No","Yes","No","No","No Study","Childcare/Kindergarten","Childcare/Kindergarten","Not in Work Force","Not in Work Force","Not in Work Force","Not in Work Force","Not In Work Force","Survey address",2,"Zero Income","No",3,0,"Couple With Kids","Separate House","Being Rented",1,2,3,2,0,1,0,0,0,0,3,"Wednesday",2650,3125504,108.43822,1,1,0.666666666666667,"Evening_Peak","Very_Long",1,0,0,0
6,"My home","Survey Home","At Home","Go home",3125504,"My usual workplace","My Workplace","Work Related","Own Workplace","Address",3119100.75,"Yes","No","Not Present","Not Present","Not Present","No","Vehicle Driver",10,50,29.1380004882813,34.9656028747559,170,3125504,"My home","Survey Home","At Home","Go home",3119107.5,"My usual workplace","My Workplace","Work Related","Own Workplace",29.1380004882813,"Yes",10,50,0,170,8,1,"65->69","Female","Self","Full Licence","No","No","No","No","Yes","No Study","No other activity","Full-time Work","Fixed Hours","Clerical and Administrative Workers","Office Managers and Program Administrators","Education and Training","Preschool and School Education","Survey address",4,"$1250-1499 p.w.","No",1,0,"Sole Person","Separate House","Owned (Fully or with mortgage)",0,0,0,1,0,0,0,0,0,0,1,"Tuesday",1375,3125504,108.43822,0,1,1,"Morning_Peak","Long",1,0,0,0
