"Feature","Gain","Cover","Frequency"
"f5",0.112521718054578,0.0512139165811861,0.0483712766506634
"f117",0.0670590201215118,0.00765507738491221,0.00170357751277683
"f6",0.0650893805487437,0.0781897392212666,0.0640648391926075
"f59",0.0598204133165811,0.00798977641854069,0.00175520107377007
"f374",0.0548283801429267,0.00849145411341785,0.0012389654638377
"f52",0.049027652779484,0.0143612233771699,0.00480099117237107
"f339",0.0465335022624494,0.00862478863204473,0.00232306024469568
"f15",0.0305810035223752,0.0267766015445341,0.0203396830313355
"f186",0.0237985955553771,0.00675801800021133,0.0034587785865469
"f42",0.0235654080442426,0.0196718185048696,0.0145062206390997
"f122",0.0220782899387561,0.00481259110291229,0.00180682463476331
"f41",0.0166010001394481,0.0162741441555784,0.0148675855660523
"f28",0.016356401117401,0.012001331128355,0.00433637912343193
"f344",0.0149207496237262,0.0137284658397907,0.00433637912343193
"f134",0.0141490454716028,0.0138265627940014,0.00185844819575654
"f76",0.012765251534268,0.00234396683083324,0.000929224097878272
"f18",0.0122563551179237,0.00583233233726139,0.00764028702699912
"f139",0.0116078667984783,0.0018951187684083,0.000929224097878272
"f54",0.0115201106518364,0.00416393706171425,0.00185844819575654
"f10",0.0113815680496623,0.0224838138594081,0.0298384182540912
"f414",0.0107685735693995,0.0139803283114471,0.00805327551494502
"f324",0.0106870231221458,0.00702589011806255,0.00113571834185122
"f7",0.0104883070357865,0.0182120706562061,0.0170357751277683
"f337",0.0102462818529939,0.0167747111694651,0.00325228434257395
"f32",0.00965301989812778,0.0201975521545768,0.0349491507924217
"f31",0.00940491327526724,0.0174409701643587,0.0412988487945899
"f181",0.0087219680643005,0.0170839493970957,0.00665943936812761
"f115",0.00851491715686582,0.00755023965937082,0.00314903722058748
"f45",0.00785575416247739,0.0128189268510242,0.0183263641525992
"f33",0.00748183243449023,0.01679890100944,0.0390790356718806
"f1",0.00733171772894872,0.0102076171572316,0.0212689071292138
"f71",0.0072024945757974,0.00650141674870951,0.00139383614681741
"f4",0.00678228952097934,0.0130965430417184,0.019152341128491
"f13",0.00667051208573354,0.00815899467026412,0.00634969800216819
"f12",0.00660608108483681,0.0146949871004906,0.01610655102989
"f20",0.00659477276002651,0.0130079374757112,0.0110474420525528
"f0",0.00610506895869886,0.00848947915038903,0.0179133756646533
"f22",0.00569797616882357,0.00739796510701241,0.0136802436632079
"f46",0.00561883896836952,0.0140986978651503,0.0188425997625316
"f11",0.00556782870072824,0.0107939322635645,0.0223013783490785
"f183",0.00549783182694341,0.00664733332810913,0.0056785917092561
"f30",0.00526245306446167,0.00587234702421707,0.009137370295803
"f19",0.00509448352991914,0.00478689206935616,0.0034587785865469
"f2",0.00495987544289,0.00793469430995423,0.0236952144958959
"f3",0.00477974629819368,0.00720120422957386,0.0136802436632079
"f328",0.00466474502391557,0.0116487920563166,0.0103763357596407
"f8",0.00416618574769391,0.00880655185898434,0.0177585049816736
"f182",0.00411306052828805,0.0138998539108571,0.00443962624541841
"f35",0.0039236144778884,0.0105852801224152,0.0195137060554437
"f16",0.0037881758154025,0.00562761189367581,0.00991172371070156
"f351",0.00349582488122433,0.0017138043395599,0.00258117804966187
